example,mean_cosine_sim,mean_cosine_sim_ranks,mean_kendall_tau,mean_RBO,scaled,alnum_only
attrib_vs_all_layer_attn,0.059124,0.776544,0.074032,0.52549,False,False
attrib_vs_all_layer_attn,0.235386,0.876572,0.374509,0.783674,False,True
attrib_vs_all_layer_attn,0.120074,0.799616,0.134198,0.542645,True,False
attrib_vs_all_layer_attn,0.302617,0.876614,0.374737,0.784229,True,True
attrib_vs_layer12_attn,0.105481,0.777507,0.07726,0.521135,False,False
attrib_vs_layer12_attn,0.408307,0.881266,0.390058,0.789077,False,True
attrib_vs_layer12_attn,0.227269,0.811874,0.168294,0.55702,True,False
attrib_vs_layer12_attn,0.400218,0.88437,0.4002,0.792063,True,True
attrib_vs_lower_attn,0.044424647357517714,0.7598115720464875,0.028209391966535498,0.5101668674314572,False,False
attrib_vs_lower_attn,0.15813220833570218,0.8679373291562321,0.34692698789600207,0.776589257064266,False,True
attrib_vs_lower_attn,0.10256667967827506,0.7823990993132356,0.08803559505155852,0.5212969044310977,True,False
attrib_vs_lower_attn,0.28751354792809075,0.8757309276225568,0.3718628296200267,0.7836880574768907,True,True
attrib_vs_upper_attn,0.05768883167457396,0.7830528842092692,0.09202048011130025,0.5345864407566041,False,False
attrib_vs_upper_attn,0.4184316222738085,0.8777594425732054,0.3782840349235543,0.7844421038624145,False,True
attrib_vs_upper_attn,0.1808918331273757,0.7823650285081704,0.08973884825992397,0.5313740030528603,True,False
attrib_vs_upper_attn,0.4178373880825914,0.877219908187151,0.3765419017486729,0.7839733156809783,True,True
