tokens,attribution
Ġlearning,0.16309237192831233
.,0.14528125331473893
Ġneural,0.11061130680693564
Ġdata,0.09734653621121125
",",0.07757291325864281
Ġthe,0.07292643543864673
Ġtraining,0.05260877443505074
Ġdataset,0.050906526867292266
Ġalgorithms,0.04835215455087961
ĠAI,0.04568385080409246
Ġhuman,0.042632776193114674
Ġintelligence,0.034488694411856445
Ġdatasets,0.033658728721002486
Ġresearch,0.02848044396463786
Ġalgorithm,0.028365371927790612
AI,0.02539439884425057
Ġnetworks,0.024334720522704602
-,0.019224574273640355
Ġreward,0.017507206736027455
Ġbrain,0.017119650050635562
Ġmodels,0.016019269691567074
Ġmodel,0.01590728082008649
Ġtask,0.01569073129423148
Ġstudy,0.014532724184676908
Ġartificial,0.014513883950944679
ĠNeural,0.014270707725732813
Ġreinforcement,0.014032812776412409
Ġproblem,0.013892565477998428
Ġtasks,0.013684758728177236
Ġpolicy,0.013533461675731094
Ġresults,0.013278360382241622
Ġdecision,0.012952296676692997
Ġoptimization,0.012257759841118952
Ġto,0.012179305762200358
Ġfor,0.012139288173308414
Ġsearch,0.011663726326598834
Ġnetwork,0.011626278339127742
Ġof,0.01119959674410881
Ġsocial,0.010899127061356656
Ġand,0.010748594447325725
ĠLearning,0.010299554107752506
Ġstudies,0.010297182241657665
Ġknowledge,0.010204742783915952
Ġare,0.009962322890591345
Ġapproach,0.009595687022871252
Ġhumans,0.009383042488775327
Ġ(,0.009299063697159209
Ġcognitive,0.009252413883628087
Ġis,0.00908053135866744
learning,0.008111663163887072
Ġpatients,0.008099925923637409
ĠArtificial,0.0080020665890817
Ġdeep,0.008000725744882359
Ġont,0.007840456765751775
ĠThe,0.0077376377845437515
Ġperformance,0.007502146468276151
Ġmethods,0.0074485477402747
Ġexperiments,0.007289803716792571
Ġapproaches,0.007133339643256411
Ġliterature,0.00703857156886202
Ġstatistical,0.006976136868989376
Ġexperimental,0.006788270761071046
Ġsemantic,0.006761993473566826
ĠIntelligence,0.006622458155827006
Ġet,0.006488703811112863
Ġthis,0.006433456456033179
ĠUniversity,0.006314617682692735
Ġcan,0.006311292130651721
Ġin,0.006279229330948544
Ġagents,0.0062700787621929105
),0.006229535117668871
ĠWe,0.0061492923746540645
Ġinformation,0.0061032541888179775
Ġgame,0.006100385477765915
Ġinference,0.00608826220638332
Ġplanning,0.005943969536250177
Ġreasoning,0.005873871526242222
Ġoptimal,0.005867483078559446
based,0.005809505659955139
Ġcausal,0.005704827502797261
).,0.005685662455326533
Ġrobot,0.005660784165301089
Ġproblems,0.0056468718011245
Ġcomputational,0.005643798973821124
Ġpolicies,0.005603709642561071
Ġprediction,0.005406974533391043
Ġresearchers,0.005322334693807802
Ġenvironments,0.005202142182127643
Ġenvironment,0.00517573187075533
Ġ2017,0.005129694953344763
Ġanalysis,0.005091813764741452
Ġagent,0.004961147804657837
Ġgenetic,0.004760475629466617
Ġstrategies,0.004684234322450492
Ġvariables,0.004634591656760365
Ġtreatment,0.004609067996089953
Ġrobots,0.004544049740719592
Ġneurons,0.004424833698759223
Ġemotion,0.004408484861771625
Ġlearn,0.00438510633760438
Ġthese,0.004311178756706045
Ġpaper,0.00429824236938619
Ġsuch,0.004288092706618678
Ġprobability,0.004240746700400254
Ġbased,0.004228944456754821
Ġregression,0.0042105394125159625
Ġrewards,0.004148523593755404
Ġour,0.004145433323940612
ĠResearch,0.004103301393338865
Ġon,0.004021335988664813
],0.003906844731351178
Ġclassification,0.003846977024758586
Ġhave,0.003824562051133264
Ġal,0.0037792999980946697
"),",0.003754959450752186
Ġstudents,0.0037124800157140735
Ġhas,0.0036715154446400073
Ġor,0.003648594913295055
Ġtechniques,0.0036148509003067833
Ġgames,0.0035874563408052488
Ġgoal,0.00356219765849899
Ġas,0.0035317779165740274
Ġgradient,0.003465868152857547
Ġshow,0.003450088727715278
Ġbehavior,0.003449202083906699
Ġlarge,0.0034431133992846637
Ġcustomer,0.0034401006536814095
Ġclinical,0.003428927634363294
Ġimage,0.0034158471880756614
Ġan,0.003299822148039594
Ġ1,0.003286165836711693
ĠNetworks,0.00324219236896055
".,",0.0031810029500818266
Ġtrained,0.0031613802566546664
Ġgraph,0.0031573937740265266
Ġdiagnosis,0.0031533602980123774
Ġstrategy,0.003139585490714421
Ġstudied,0.003132427043851015
Ġmethod,0.0031262155468977228
Ġdistribution,0.003104403226786173
Ġrecognition,0.003093699099497297
Ġvisual,0.003075922239733511
ĠThis,0.003069468130114055
Ġvalue,0.003022400852363682
Ġprocess,0.002898493664173573
Ġproposed,0.002886864009509352
Ġmore,0.0028628485211248645
Ġeffects,0.0028312449574353265
Ġmedical,0.002790281434294019
ĠHowever,0.00275316435595519
Ġeffect,0.0027445264692839166
al,0.0027429815763409734
Ġfindings,0.002727914354778291
Ġemotional,0.002691102956774024
Ġsamples,0.0026673155995446916
Ġgenes,0.0026604317197910544
Ġneuroscience,0.0026596217558549065
Ġframework,0.002598511475102975
Ġmodeling,0.0025868788974018715
Ġpopulation,0.002577241069728932
Ġevolutionary,0.0025721613592584063
Ġevaluation,0.0025625422501383286
Ġ2016,0.002482709232562709
ĠData,0.002481466952313849
Ġempirical,0.002478169858649758
Ġinterventions,0.0024700258959761538
Ġshown,0.0024478580624663075
Ġpatient,0.0024432445837471767
Ġobservations,0.0024071342457011795
Ġstate,0.002406905371369067
Ġspeech,0.0023904012125024444
Ġcontext,0.002390211549488855
Ġattention,0.0023727378410764253
Ġevidence,0.0023610622905010925
Ġselection,0.002355785548155414
Ġanalytics,0.002322478709883365
Ġintelligent,0.0023218161800574065
Ġalso,0.0022967041416266823
Ġhigh,0.0022926616611720807
Ġdecisions,0.0022722547011371323
Ġfield,0.0022710973091111452
Ġchallenges,0.0022662567828589148
Ġcancer,0.0022538833936874003
Ġgene,0.002235931878640264
Ġobjective,0.002232334550728642
Ġparameters,0.002220558208621108
ĠIn,0.0022113198835155517
Ġdemand,0.0022055467224507326
Ġuncertainty,0.0022048435482391955
ĠThese,0.0021984378255725627
Ġeach,0.0021934208522775027
Ġlearned,0.0021421861450915437
Ġdifferent,0.0021361158267342788
Ġrepresentation,0.0021243240514074667
Ġdrug,0.0021046306579885414
Ġfirst,0.0020931968572092396
Ġpredictive,0.0020701670327695114
Ġmalware,0.0020672236796975742
Ġestimation,0.002064841907252302
Ġimages,0.002041451507703205
Ġart,0.002041196761036793
Ġteaching,0.0020358552848355168
Ġdynamics,0.0020274174419817994
Ġbehaviors,0.00202503821053308
Ġranking,0.0020162184438232682
Ġdistributions,0.0020144128513072015
Ġcontent,0.0020082402861742693
Ġcommunity,0.001992536544439514
Ġcaus,0.0019864489553103127
Ġbeen,0.001981910769615888
Ġdetection,0.0019775867253886354
Ġonline,0.0019698541984499033
Ġimprove,0.001963355934559645
Ġcontrol,0.00195955056600038
Ġsolutions,0.001949871065471617
ĠDeep,0.0019497897330492714
Ġsample,0.0019437537750273712
Ġpricing,0.0019428705637014512
Ġrobotics,0.0019389419410370346
Ġrecovery,0.0019276192488782745
Ġautonomous,0.001900299006315814
forcement,0.0018979153015161023
Ġarousal,0.0018969618726860445
Ġrandom,0.00188960281057844
Ġquality,0.0018841973198351996
Ġgeneral,0.0018779389691769971
Ġtheory,0.0018768046380316778
ĠFigure,0.0018766602340771171
Ġrecent,0.0018740224378748227
Ġbetter,0.0018694226161787815
Ġresources,0.0018685070609051713
Ġlocal,0.0018442240872194448
Ġtopic,0.0018310406505506359
Ġnatural,0.0018055097037659221
Ġspace,0.0017833457042183195
Ġacademic,0.0017751332456244807
Ġquestions,0.0017751323897352133
ĠCognitive,0.0017688077359626062
Ġrisk,0.0017666077465251346
Ġperception,0.001752708635239022
Ġthat,0.001750611176105469
Ġnumber,0.0017487316851311195
Ġavailable,0.0017446249288592304
Ġmost,0.00174234761763158
Ġcurriculum,0.0017409098069738453
Ġparticipants,0.0017326792055607926
Ġscientific,0.001731695934657729
ĠOur,0.001713838384357427
Ġprovide,0.0017116342564793248
Ġnormative,0.001703782898804266
Ġquantum,0.0017028196336879933
Ġchallenging,0.001688262063776718
Ġadaptive,0.0016829854478193358
Ġgraphs,0.0016767520363835233
Ġgiven,0.0016716488558582922
making,0.0016680922128551195
Ġrobust,0.001666459513332574
Ġmay,0.001664745236945714
Ġmarketing,0.0016626990714052273
Ġreal,0.0016571246163039387
Ġcognition,0.001645976350865535
ĠInstitute,0.0016388284871012172
Ġemotions,0.0016337869679252832
Ġskills,0.0016293898745807103
Ġfocus,0.0016291285754604177
Ġoutcomes,0.0016273724863375384
Ġneuro,0.001614803277946288
Ġsolving,0.0016112580740825061
Ġcost,0.0016097732941264416
Ġsolution,0.0016072172981186014
