tokens,attribution
.,0.5048347016311912
Ġlearning,0.28737810440448097
",",0.23861157975540184
Ġneural,0.2316416842749581
Ġdata,0.1425026167264242
Ġthe,0.13799948794482056
Ġto,0.11979036930943428
Ġtraining,0.10176895955815835
Ġof,0.08944125396849342
Ġdataset,0.08832334318698455
ĠAI,0.08524123506382404
Ġand,0.08237761746716042
Ġhuman,0.08089327380698423
Ġa,0.08012058509768943
-,0.07067584714032794
Ġalgorithms,0.06827316529134161
Ġintelligence,0.0648767800525423
Ġin,0.05299988525407637
Ġnetworks,0.052898290198491564
Ġfor,0.052196287473809326
Ġdatasets,0.05201816665193644
Ġ(,0.05144122999209028
Ġis,0.05048665144928068
Ġalgorithm,0.04739335220002374
Ġresearch,0.04628628930932207
Ġreward,0.0348958788866347
AI,0.03441723108364317
Ġtask,0.03318456565685908
Ġproblem,0.02995172100441563
Ġmodel,0.02968388727970567
Ġthat,0.029584163589951498
),0.029527045690952068
ĠNeural,0.028838665487253005
Ġtasks,0.028628073442958132
Ġmodels,0.028334312332636974
Ġare,0.02706382564844593
Ġbrain,0.026061225850794702
Ġnetwork,0.026035046550877815
Ġreinforcement,0.025627671482016577
Ġon,0.025370337135768653
Ġcan,0.024211312501247972
Ġdecision,0.023500388841868086
Ġpolicy,0.023170225947458895
Ġartificial,0.022405949672504935
Ġoptimization,0.02190502858327479
Ġsocial,0.021382717203213553
Ġknowledge,0.02120817497909573
Ġresults,0.020739572128820803
Ġsearch,0.02073547280179458
Ġthis,0.02032887882796539
Ġstudy,0.019474443581527223
ĠThe,0.01885668930755867
Ġan,0.01852566638004593
Ġstudies,0.018290266307860924
Ġcognitive,0.018046255009620333
Ġapproach,0.0180009704874633
Ġdeep,0.016791822178374844
Ġwith,0.016735410952896292
Ġmethods,0.016385793440820483
Ġhumans,0.016262628794281246
ĠArtificial,0.015270838478958756
Ġhave,0.015106921467481075
).,0.014971790023773947
ĠWe,0.014753673738252001
Ġproblems,0.014621773464044821
ĠLearning,0.014586560020029548
ĠIn,0.014484518461856364
Ġ[,0.014440186780338014
ĠThis,0.014259686220379606
Ġas,0.014191184361754199
Ġhas,0.014185477881880846
ĠIntelligence,0.014107866670117392
Ġont,0.013876334551075056
Ġexperiments,0.01382909934426684
Ġbe,0.013599693446252349
Ġet,0.013591089155055651
Ġapproaches,0.013376659775830147
Ġpatients,0.013006931790017936
Ġrobot,0.013003936765541211
Ġby,0.012843561837859688
learning,0.012734068453727888
Ġreasoning,0.012272163214558646
Ġgame,0.012209728078650318
Ġexperimental,0.012207145348251075
Ġplanning,0.011729557210611499
Ġvariables,0.01165391279934176
Ġperformance,0.011653425641193801
Ġal,0.011559813881760764
Ġprediction,0.011422342266192063
Ġagents,0.011391753867853962
based,0.01087899790921813
Ġwe,0.010755522611263679
Ġ2017,0.01067964193283641
Ġoptimal,0.010490244421713731
Ġresearchers,0.01038281695054738
s,0.010326031847701604
Ġor,0.009975649677201395
],0.009859880241353564
Ġthese,0.009825744662923802
Ġsemantic,0.009797156887464235
Ġinformation,0.009795351950660497
Ġfrom,0.009787228044933297
Ġemotion,0.009711564154385788
Ġenvironment,0.009623418113481004
Ġagent,0.009220398410423146
Ġenvironments,0.009163062747340096
;,0.009087691361377926
Ġlearn,0.009080510512996486
Ġgenetic,0.00905829143188021
Ġliterature,0.008998410316895513
:,0.008991443480784653
Ġrobots,0.008910628746458114
"),",0.008715828691154925
Ġpolicies,0.008707964393401942
".,",0.0086603348687592
Ġcomputational,0.008657816346827744
Ġmethod,0.008490913812604067
âĢ,0.008432887339845936
Ġsuch,0.00841733980561315
Ġmachine,0.008411721345475912
Ġbased,0.00828271827402807
ĠA,0.008258944394796894
Ļ,0.008056810764721015
Ġtechniques,0.007990487671636206
Ġrewards,0.007846288645777516
Ġwhich,0.007843506628026546
Ġcausal,0.00784179802042628
Ġbehavior,0.007818442035345402
Ġcontrol,0.007769914708555783
Ġtreatment,0.00774880156903005
Ġprobability,0.007576166963162667
].,0.007517315047297783
Ġshow,0.007411503640569624
Ġpaper,0.007385063627915573
Ġstatistical,0.0073104703293515975
al,0.007295448269622672
Ġcustomer,0.007274945957128542
Č,0.007269371921622217
Ġregression,0.00723661504809174
Ġgames,0.007227940022681913
Ġstrategies,0.007157807622458621
Ġanalysis,0.007076653801999682
Ġprocess,0.007001090500450163
Ġmore,0.006939393137212824
ĠNetworks,0.006853757843424754
ĠUniversity,0.006822639838072359
Ġbeen,0.00674029414699099
Ġour,0.006716191794337939
ĠFor,0.006695739562879507
Ġgradient,0.006633217700461489
Ġgoal,0.006565242199102271
Ġimage,0.006530136658140486
Ġclassification,0.006522057542399403
Ġneurons,0.006495373442777758
Ġvisual,0.006428881240526493
Ġrecognition,0.00632586380729901
Ġnew,0.006285894327276989
Ġstate,0.006245024273233127
Ġ1,0.006215855863015466
Ġtrained,0.006115536315716103
Ġevidence,0.006047600854013901
"],",0.006017487991435604
Ġlarge,0.006001707240976903
Ġdistribution,0.005942795898094343
Ġdifferent,0.0059401523050851696
Ġclinical,0.005928059467958554
Ġproposed,0.005852818270201677
Ġdiagnosis,0.0056345600379920915
Ġinference,0.005634079446252253
Ġframework,0.005625952810830553
ĠâĢĭ,0.00561292907885381
Ġusing,0.0055912274743969825
Ġdemand,0.005582416660678359
Ġemotional,0.005544087539164436
âĢĭ,0.005483828709633801
ĠResearch,0.005434856967370516
Ġhigh,0.0053448696446785696
Ġevolutionary,0.00533594208067889
Ġvalue,0.005298805351228135
Ġother,0.005163440430372807
Ġalso,0.005162623351768843
Ġlearned,0.0051228501277392835
Ġmedical,0.0050278654964648695
Ġgenes,0.004934080950912519
Ġ2016,0.004884507062356273
Ġpopulation,0.004824487961588068
Ġwork,0.004803328523978098
Ġit,0.004791615607285929
Ġmay,0.004752783202071895
Ġgeneral,0.004728334693935613
Ġpatient,0.004668135750707509
Ġuncertainty,0.004643612806180688
ĠDeep,0.004613332882000011
Ġpricing,0.00461157361567885
Ġsamples,0.00460597441719799
Ġ2,0.00459498028730027
Ġgene,0.004578506982533374
Ġset,0.0045783433711892
Ġat,0.0045528721711670895
Ġneuroscience,0.004552674256160772
Ġsystem,0.0044778441913804635
Ġused,0.004470520583546352
Ġstudied,0.004455436659504942
Ġobjective,0.004429146103186019
Ġsystems,0.0044280800256989526
Ġsolutions,0.004426231329396198
Ġimages,0.004407982962531434
Ġmodeling,0.0043979499963525785
Ġinterventions,0.004349166468538349
ĠHowever,0.00430780875288942
Ġcancer,0.004247822379331911
Ġintelligent,0.004236807048392807
Ġempirical,0.004197208536946458
Ġrecent,0.0041919820323967506
Ġbehaviors,0.0041586778525720645
Ġmany,0.004150694579563451
Ġshown,0.004134670963898685
Ġgraph,0.004133161546674404
Ġimprove,0.004122879943119424
Ġwhere,0.004116158598237958
Ġbias,0.00410344119966801
2,0.004102463675096819
Ġdecisions,0.004086020961165682
Ġevaluation,0.0040779711733671484
Ġobservations,0.004061740707632105
Ġcognition,0.004058909497412711
Ġonline,0.003977610265829265
Ġrepresentation,0.003971774523748769
Ġreal,0.0039572236847113425
Ġanalytics,0.003954414798489909
Ġ2015,0.003951921627749895
Ġchallenges,0.003935306043743228
Ġdistributions,0.003933386939416524
Ġeffect,0.003922585255506476
Ġattention,0.003915633738039209
Ġselection,0.003908122437027636
Ġspeech,0.0039038671276400145
Ġautonomous,0.0038980855186253665
Ġfirst,0.0038839400670335365
Ġlocal,0.0038837539689455967
ĠThese,0.0038563423369942056
Ġquality,0.0038459274801333535
Ġtheir,0.003836408766541183
Ġsample,0.003833529668606094
Ġuse,0.0038187742316896068
ľ,0.003817420597806737
Ġtheory,0.003817383667031224
Ġmost,0.0038152175017289003
Ġdetection,0.0037913337197782323
Ġdiscrim,0.0037771370014160646
Ġmaking,0.003694919648536962
Ġprovide,0.0036913034103604313
Ġapplications,0.0036897014891884646
Ġrisk,0.0036440820351593757
Ġperception,0.003627835864566167
Ġnormative,0.0036266697192225386
Ġstrategy,0.0036129417895550027
Ġemotions,0.0036028744467680586
Ġpeople,0.003576419343704623
Ġpsychology,0.003553155249582575
Ġrobust,0.003550874318484173
Ġcontext,0.0035463361952524962
Ġbetter,0.0035141742515512465
Ġestimation,0.0035139580179633445
X,0.0035117023314948453
Ġsolution,0.0034907327394137202
Ġdrug,0.0034855402766353926
1,0.003478737166436215
Ġhow,0.003474483336641694
Ġresources,0.003470955142058234
Ġspace,0.0034592961343849764
Ġfindings,0.0034584130745559946
Ġfield,0.0034381841248505456
Ġbetween,0.0034345001376631656
Ġprocessing,0.0034081574586800273
Ġdisease,0.003386056449388813
Ġavailable,0.0033760841405133667
Ġpharmaceutical,0.0033620200456896667
forcement,0.003349811849495453
Ġ2018,0.003327597624233808
ĠOur,0.003294642493079832
Ġcustomers,0.003283391708712306
ĠData,0.00328096389597833
Ġtest,0.0032684612250306775
Ġnumber,0.003263137968300514
Ġperceptual,0.0032505560263932404
Ġpredictive,0.003211525029111982
Ġpredict,0.003207300188048575
Ġparameters,0.0031901906634660094
Ġart,0.003165307945693463
Ġrobotics,0.0031458545642880174
Ġresponse,0.0031324402262819964
Ġbehaviour,0.0031310043195453595
Ġeach,0.003128295187938146
ĠCognitive,0.0031250345096236107
making,0.003120914315515892
Ġimportant,0.0030687475630337612
Ġchallenge,0.0030680488219741913
Ġoutcomes,0.0030580796506495898
Ġeffective,0.0030463406755106867
Ġboth,0.003040879401617203
Ġwell,0.003007522698419409
Ġfeatures,0.002998640241245747
Ġlikelihood,0.002992602276921161
Ġskills,0.00294249630047069
Ġtopic,0.0029294911158269416
Ġvaccine,0.0029279990783198824
Ġrecurrent,0.0028839345202795645
Ġabout,0.0028818336290851974
ĠAs,0.0028755431408884163
Ġmarketing,0.002875227250850895
Ġneuro,0.002845156752844851
Ġcontent,0.002838572943317463
Ġwas,0.002837739381623326
%,0.0028343150364687456
Ġdesign,0.0028289237972005136
Ġfacial,0.0028271673870939617
Ġone,0.002825919469062954
Ġ2014,0.0028130923484032794
Ġfocus,0.0028091832692633927
Ġchallenging,0.0028031863019810396
Ġevaluate,0.0027983390813114068
Ġsolve,0.0027962185113869728
Ġvision,0.0027942312670558426
ĠAlzheimer,0.002793256565336949
Ġmulti,0.0027921820029898937
Ġinto,0.0027744118388513634
Ġperform,0.002771402709635115
Ġsolving,0.002768160255575785
Ġrandom,0.0027656867913911157
Ġdemonstrate,0.0027598862856148382
Ġactions,0.0027592844518549734
Ġtarget,0.002759053844015961
Ġtwo,0.0027279207862237653
