tokens,attribution
Ġprogramming,0.22121583663583633
Ġprogram,0.14740283747379296
Ġprograms,0.14001945053190762
Ġlanguages,0.13149756138794666
Ġlanguage,0.09463204455679507
Ġcode,0.08123103234121873
Ġa,0.07238428757589317
Ġ.,0.06482685412821544
Ġsoftware,0.0609575797235985
ĠProgramming,0.054668372694021576
Ġcompiler,0.0545213277196417
Ġsyntax,0.04550532800496098
Ġsemantics,0.04104270743940703
Ġand,0.03308086548160146
Ġof,0.03145120410310882
Ġimplementation,0.029681521677522044
",",0.027944958198653447
Ġin,0.027299013180761618
Ġtype,0.026556788922598492
ĠComputer,0.024773981246051683
ĠJava,0.024201604586663882
Ġprogrammer,0.02126456142078303
Ġto,0.0197534138979474
-,0.019673935589915544
Ġ,0.018906229478380488
Ġimplementations,0.017779095587775382
Ġprogrammers,0.017244168965997786
:,0.016304575015509068
Ġfor,0.016217120053324215
Ġ[,0.01550533339216978
Ġsystems,0.015049242567394224
ĠHaskell,0.014737274916970657
Ġrewriting,0.014700357037544748
ĠSoftware,0.01408740069513992
Ġcomputer,0.01350918992358062
Ġthat,0.013083095429098086
Ġtyped,0.012741090806108931
Ġit,0.012438612927230317
Ġtyping,0.012309086859105176
Ġ(,0.011459132823088067
Ġfunctions,0.011049829624259757
Ġexecution,0.010964910726955934
Ġtypes,0.010940896532505963
Ġby,0.010724328026880382
),0.010534400867615616
Ġdebugging,0.010440000855050948
Ġfunctional,0.010283909310713697
Ġwith,0.010008353207915315
++,0.009626845487916747
Ġan,0.009615535684761822
Ġfunction,0.009348817588991816
Ġ:,0.009279774912936606
ĠLanguage,0.009088754837891743
ĠIn,0.009029446665637514
Ġconcurrent,0.008662995991724034
ĠLanguages,0.008523623425207249
Ġis,0.008248553274391881
Ġcomputing,0.008247481720923518
urrency,0.008246481095574883
Ġrewrite,0.008114355054065967
Ġon,0.00794690736074679
ĠA,0.007803865203691913
Ġwork,0.007780231917587074
Ġabstract,0.007666450119361551
ĠC,0.007538531438998846
Ġbe,0.007454312962386364
Ġlibraries,0.007379329747195314
Ġapplications,0.007371074042968158
Ġspecification,0.007268665037962039
"Ġ,",0.0071019682868225945
Ġcomputation,0.0070453906969269115
Ġruntime,0.006854201776176255
Ġuse,0.006721715802581062
s,0.006550559642673128
Ġrecursive,0.006483566228066276
A,0.006458954102080076
Ġfrom,0.006441551220457482
Ġnot,0.006353871105792073
Ġparallel,0.006337689293460135
Ġinterpreter,0.006250924401585548
1,0.006125079800199379
âĢ,0.005996374663654143
ĠP,0.005984151396513442
@,0.005730253083102469
Ġwrite,0.005688245951686898
Ġused,0.0055773949915928125
Ġimplemented,0.00549879550778433
;,0.0054954420820759
ĠComputing,0.005288754400292487
Ġoutput,0.00511953027018787
Ġrules,0.0049941314612521
ĠâĢ,0.00489515350737246
Ġexpressions,0.0048367702170736115
Ġabstraction,0.004796758527881482
Ġlibrary,0.00476308018552258
ĠLogic,0.0047553250397377
ism,0.00475297590193756
v,0.004748214933211534
Ġsession,0.004737997634383228
Ġsystem,0.004719487380017637
ĠPython,0.004717324739820479
ĠâĨĴ,0.004699852212709197
Ġdesign,0.004650886485989098
Ġalgebra,0.004581576731575172
Ġfile,0.004576454334843584
Ġoperations,0.004560408321788437
Ġcomput,0.004550031572264598
Ġbut,0.0044983934592559794
Ġ=,0.004457569452396355
Ġprotocols,0.004428164270218168
Ġapplication,0.004390845097099413
T,0.004312743933125147
Ļ,0.004285980089891994
ĠAbstract,0.004251487566594367
Ġcorrectness,0.004237470819650306
Ġexample,0.004232746092558621
Ġc,0.004179656258472549
Ġat,0.004133266998774606
Ġcall,0.004091132069034576
Ġmachine,0.004047458713439253
time,0.004041564486192771
Program,0.004040206055757979
Ġprotocol,0.004022732994001188
].,0.004019640968914378
ĠProgram,0.0038968216940564646
Ġthis,0.003895450192368446
Ġusing,0.0038932460475254974
ĠLisp,0.0038481994469020692
ing,0.0038456307286582046
Ġsome,0.003834975653266124
Ġf,0.003831022054189654
Ġdevelopment,0.00383063718214926
ĠIntroduction,0.0037858845616225
Ġerrors,0.003781695930264523
Ġverification,0.0037763981937273257
