tokens,attribution
.,0.40915133934284403
-,0.1250022579964439
",",0.09974406629822616
Ġ(,0.05629446185847393
Ġthe,0.04096649884401576
:,0.034147467726285304
].,0.03375342147175785
),0.031151815994056458
Ġof,0.03000286714303157
).,0.028448274877893243
Ġ[,0.026840996372626193
".,",0.024359252684928157
Ġand,0.01871457292885555
/,0.017245908293379422
@,0.015528444755841725
"],",0.014419397672872097
Ġ.,0.01396550585264487
;,0.012591046373583447
],0.010725102561590665
(,0.010383166500625563
"),",0.007945879595966014
Ġor,0.007931215505084483
Ġto,0.007550440958098002
Ġon,0.007413093557374096
Ŀ,0.007066908438906251
Ġ2017,0.0066054943144917425
2,0.006286057430018207
s,0.006110658830590525
Ì,0.00509673917850001
1,0.004869648458750076
Ġ&,0.004746419849579441
Ġbetween,0.004697841618323332
ĠâĪ,0.004582514123353745
17,0.004346799646380164
Ġare,0.004193273387129439
|,0.003939051214808082
3,0.003885322376206785
Ġat,0.0038714324964841972
Ġfrom,0.0037211425254358847
ľ,0.0036155081823684033
âĢ,0.0036029814120207104
ĠâĢ¢,0.003566272767016995
M,0.003386202346929751
Ġby,0.0033528867378106297
Ħ,0.0032082899315400977
=,0.0031430057237564254
Ġ=,0.0030706936141005124
Ġ{,0.002908358861532568
Ģ,0.0028719504981571243
0,0.002605418856731216
Ī,0.0025492281497318373
4,0.002436857388806834
or,0.0023704374883961373
AI,0.0023523413113895114
Ġprogramming,0.002345766550960858
11,0.0023348416220602334
g,0.0023250938092067557
://,0.0022605465402986053
18,0.0022496998134463823
to,0.002234565713661678
ĠProgramming,0.002188442134371743
ĳ,0.002178946983753594
ĠâĢĭ,0.0021398600423166232
Ġfor,0.002132018387357143
?,0.002114613139743356
âĢĶ,0.002112384256701288
ĠIntelligence,0.0020598586442110694
âĪĴ,0.0020429689042111665
ical,0.002030598021958312
¬,0.0020112028227215416
Ġover,0.0019746261553218237
10,0.001973654792271311
12,0.001963019160737558
[,0.001954733194772623
ding,0.0018939271418904116
âĢĵ,0.001880367125003274
Ġ2014,0.0018744782106052368
the,0.0018549709072044035
Ġ|,0.0018491916301883403
istic,0.0018329726208963846
Ġ2,0.0018316681921633964
ĠGenetic,0.001819804287215442
Ġthan,0.0018181509511401683
ization,0.0018001294834510543
u,0.0017650766433454546
ĠFor,0.001695327964228028
ar,0.0016473857960976343
ĠâĢĵ,0.0016469729494773759
j,0.0016316033529845118
9,0.0016275076982003903
"Ġ,",0.0016266257238924252
H,0.0016130243140739698
ology,0.0016092045339844313
Ġincluding,0.0015837464835311895
]).,0.0015821547144607541
z,0.0015818173804147526
},0.001579952445395404
ģ,0.0015769550648530718
ual,0.0015679510658898105
15,0.00156079727557995
level,0.0015446878023076928
Ġnot,0.0015162803749983857
Ã©,0.001506271058732514
h,0.0014696809517269383
Ġtwo,0.001461869041522143
2017,0.0014456624964486091
Ġ2018,0.0014451552846172012
16,0.0014394652139080005
ically,0.0014352376431574863
Ġwhile,0.0014273978652264432
i,0.0014244684644934315
13,0.0014192971237021522
ĠFF,0.0013777667226092523
ch,0.001374806561330149
âĪ,0.001363785325401396
ODUCT,0.0013598226500434764
ary,0.001358426796283802
%,0.00133648730116126
ĠâĪĴ,0.001326267880470637
vised,0.001318785364179568
Ġ3,0.0013173670306336205
Ĩ,0.001302142376221165
Æ,0.0012948481700643018
ner,0.0012923710512672102
TR,0.0012834383156378364
+,0.0012769396505559073
ologies,0.001276777841678859
05,0.0012579162932709563
ings,0.0012571065436954776
allel,0.0012542392962424946
Ġonly,0.0012491301422238024
Ġ2015,0.0012474599687802032
ĠAcquisition,0.0012449855059934376
ian,0.001242227189234694
ĠTo,0.0012371926518969859
olution,0.0012222641357001688
ological,0.0012121739466506242
arial,0.0012021318974155897
Ġlanguages,0.0011921034965388397
m,0.0011906696866187934
Ĥ,0.0011847717725400882
Ĺ,0.0011770781982379374
7,0.0011683001622951074
forcement,0.0011669703577295374
6,0.001166854070915973
Ġwhen,0.0011543203821702888
gment,0.001152668141456358
14,0.0011148465758467087
19,0.0011102243980982813
Ġcurrent,0.0010851943322848492
ĠOur,0.001078561465525079
ang,0.0010725474943925706
Ġinclude,0.001066371278250463
time,0.001057828569171034
Ġdeeper,0.001055882339212722
07,0.0010535913088179543
ĠÃĹ,0.0010503434012036688
ving,0.001047395194074714
Ġabout,0.0010465774071001341
istics,0.0010361921042291214
Ġas,0.0010227720295061388
ational,0.001007553394717554
2016,0.0009996770919771063
03,0.0009957726500373324
Ġconsideration,0.0009955128668263404
inator,0.0009923574906699321
Ġvia,0.0009914970666316753
ĠNotice,0.0009895706227037507
ATED,0.0009876133955407011
8,0.0009789781733416645
ðĿ,0.000971812762455557
ity,0.0009684680158094315
Ġagainst,0.0009674589422251923
Ġin,0.0009594139012773111
22,0.0009516390899527259
Ġ2016,0.0009420582360308504
o,0.00093414068398701
ĠJava,0.0009338049668125543
see,0.0009170776610938117
ourced,0.0009082423095745182
):,0.0008990003503961622
Net,0.0008953948150720642
Ġhor,0.0008949024533560573
able,0.0008913274169400421
Ġrecent,0.0008886636072542947
09,0.0008821045453820553
Ġ2011,0.0008818754712655183
isation,0.0008725906039028118
ou,0.0008648846370583565
01,0.0008610429985837187
L,0.0008606371912056028
ial,0.0008595734800607103
¡,0.0008551455283875206
%.,0.000851434990584264
st,0.0008479904747984049
*,0.0008410542771949624
DP,0.0008337014365759321
ally,0.0008194428336047064
ationally,0.0008189930346262693
20,0.0008131368444074934
Q,0.0008126661119294845
ive,0.0008073359399386801
Ġ24,0.0008024335721201588
Ġafter,0.0008019734996289994
esian,0.0008014749809828774
as,0.0007983307988184977
Ġ/,0.0007953428479842074
ering,0.0007952237400123793
term,0.0007921397968616447
ĠNeighborhood,0.000790712640277315
Ġ6,0.0007859349501156414
ur,0.0007835463512452514
21,0.0007819704554987737
ĩ,0.0007802320296762642
ance,0.0007797449380716403
ĠâĢĶ,0.0007793768722135446
23,0.0007793703665967713
Ġ),0.000777606430855099
Ġsyntax,0.0007775843661504482
ĠExplan,0.0007739399469836026
Ġ26,0.000766195668009795
ories,0.0007633602969466313
W,0.0007624922893493881
Ġ14,0.0007582020441425192
entially,0.0007572672626529092
Inter,0.0007557231893837576
ver,0.0007556982582800001
&,0.000754276647583392
ĥ,0.0007524074789979817
Ġmalware,0.0007515168652122827
TS,0.0007495587670892892
Ġrelations,0.0007491576377077298
ĠParticipation,0.0007474384280422016
¸,0.0007441470377547576
and,0.0007391170976767615
