tokens,attribution
Ġ,0.16288997607135836
Ġa,0.1555467138312437
Ġto,0.11948823525817827
Ġis,0.08766131998383528
Ġand,0.06892823219318155
ĠThe,0.05836571972645401
Ġin,0.048116734359315017
Ġfor,0.045910423304761326
ĠIn,0.044377045995229
Ġof,0.037032912524428106
Ġbe,0.03659222902871201
Ġthat,0.03344123427163258
Ġan,0.03324287084119229
ĠWe,0.03220917218244916
Ġit,0.03184792193990685
Ġwe,0.030659000553187606
Ġby,0.028654722802002038
],0.02799472415718941
ĠA,0.02649459247903106
Ġare,0.025544581988953322
Ġon,0.02553357202605681
Ġwith,0.025469343230287867
",",0.0248070725872938
Ġthe,0.02362911876516722
X,0.020972780393014215
Ġas,0.020413973373027673
Ġpaper,0.020025166552906943
Ġsystems,0.018643805693387448
ĠC,0.017952418213012935
Ġe,0.017059674850496507
Ġsystem,0.016907181842341714
Ġuse,0.016618549014503593
Ġprogram,0.015627831667266414
Ġx,0.015259561751020313
Ġwhich,0.01490997544604121
âĢ,0.01465773796890203
Ġits,0.014450694779828403
ĠP,0.0143087188591658
Ġusing,0.013584913238907013
Ġprograms,0.013517207932879362
ĠThis,0.013180839011813925
Ġused,0.013162627571340749
Ġorder,0.012778217607582042
ĠPro,0.01226010668008082
Ġn,0.011835751569359228
Ġcan,0.011823505994538496
ĠIt,0.011730059494258387
ĠâĢ,0.01171806504601186
Ġfrom,0.011366687693896014
Ġc,0.011183144655717372
</s>,0.010522726828873919
Ġf,0.010307427863189594
x,0.010025912500255987
a,0.009846023445932387
Ġi,0.009777962413324341
Ġstate,0.009430980166900445
ĠB,0.009324229521507122
Ġp,0.009135207547393973
Ġnon,0.009080189504150349
s,0.009018206206333002
ĠF,0.008768689796898656
i,0.008671511624052098
e,0.008560095024366493
Ġany,0.008515381125231572
Ġfunction,0.0084724527631278
Ġfunctions,0.008410319023373941
Ġsome,0.008401819253096587
Ġall,0.008397329617019934
Ġy,0.008314771665488887
Ġobject,0.008293512297464955
Ġform,0.008218437157052448
ĠO,0.008122637192812324
Ġhave,0.007984142771062607
Ġ[,0.007963914299317098
Ġgeneral,0.007903055652550683
Ġal,0.007852322941840312
ĠS,0.00783678745135213
Ġset,0.007711564504677526
Ġ=,0.007635286831918668
Ġt,0.007604375497417008
Ġcase,0.007563350008560586
Ġrules,0.007256102322061438
Ġb,0.007193156149924406
Ġhas,0.007177983444619659
Ġs,0.0071142556265639265
ĠE,0.007081968289670191
Ġâ,0.007069239030531398
Ġmon,0.00699769504337388
Ġwork,0.006960025514650308
Ġbut,0.006958199572036334
