tokens,attribution
Ġof,1.337319290103176
.,0.8087976268579196
Ġ,0.46259374380444374
Ġ(,0.44065930243142726
Ġin,0.4104287473220464
-,0.3996436683824177
Ġfor,0.2522534306658612
Ġ[,0.22046242133182037
Ġand,0.21883561801140686
Ġlearning,0.2168558848857206
Ġon,0.19713206236985278
Ġwith,0.14566236385302406
Ġtraining,0.13753763088182344
",",0.130033701203439
Ġfrom,0.11068370639987632
Ġtask,0.10217756421175624
),0.09799500751652203
Ġat,0.08032088240059802
Ġthat,0.0796419879236362
Ġdata,0.07847158094170749
Ġbe,0.07746632404537108
Ġcan,0.0736233066976467
1,0.07210683815086012
Ġwe,0.06667767775156921
Ġtime,0.06587692624815894
@,0.0536573461874218
s,0.05167388303923541
Ġneural,0.05145633160102485
Ġtasks,0.05092960211035153
Ġinformation,0.05091161664410903
Ġ1,0.05008336630082847
Ġproblem,0.049355897976934036
2,0.046242478209760816
:,0.045681614775466284
Ġdeep,0.045046603912057025
).,0.0445378220833917
Ġwork,0.043352103037907284
Ġhuman,0.04299534495722654
"),",0.04224900237458841
Ġas,0.041814565313261706
Ġ2017,0.04133058861762618
Ġnot,0.041239462031813647
ing,0.039467659074542374
Ġnetwork,0.03857705929591223
ĠD,0.03854529441955027
âĢ,0.038360457082074625
ĠâĢ,0.03835932257279785
Ġour,0.03810358759057343
Ġresults,0.03742967038567605
Ġagents,0.03616771101939944
Ġagent,0.03569919118486934
Ļ,0.03516993609932776
Ġperformance,0.03463026640420689
Ġhave,0.03436703322044468
Ġdecision,0.034281615317248874
Ġproblems,0.0341522552709533
Ġknowledge,0.033914966203345304
Ġall,0.03359936170846565
Ġactions,0.0328598110890584
"],",0.03278665685716029
(,0.031927843669955124
Ġresearch,0.03139631312005763
D,0.031081834276294285
Ġ2,0.03071643988923646
Ġdifferent,0.030628960460198956
].,0.029908437293348137
Ġaction,0.0296032158925911
Ġreward,0.028774053635184167
Ġthis,0.028488365471522094
],0.02840891749838568
ľ,0.027545620232786255
Ŀ,0.027222306425898592
Ġsearch,0.02680844643742621
ĠâĢĭ,0.02653585529495249
Ġbased,0.026357721929959114
Ġdataset,0.026313945608309058
Ġlearn,0.02582613377944893
ĠLearning,0.025401033680108317
Ġor,0.025174660318965626
Ġbeen,0.024480405609427956
Ġover,0.02409502752695693
Ġ3,0.024058342473437827
based,0.024046669529313818
".,",0.02401799717609215
Ġby,0.023932603679179612
Ġwhen,0.02386696362742122
olution,0.023854808517299358
Ġal,0.02378096452188699
Ġobjective,0.02357961583104394
Ġtrained,0.023575248585344606
ĠRL,0.023553324750557877
AI,0.023502573397732863
ization,0.023453866425347816
ĠAI,0.023402921886309973
Ġ2016,0.02322922978256018
Ġ=,0.0231730720864111
3,0.02315815823145948
/,0.02275322935454777
ĠA,0.02238573429266356
ĠDeep,0.022203152642565664
Ġgoal,0.02203685829392385
Ġan,0.02146746098971951
N,0.021444184824392223
M,0.02130612872336255
âĪ,0.021054831892793384
Ġpaper,0.021026686017982747
Ġstudy,0.02083286793280501
Ġrandom,0.020697247015336345
Ġimage,0.020589935716908047
Ġwell,0.02023207327263022
Ġabout,0.01979089529403256
Ġattention,0.0196150840461776
Ġnetworks,0.019488089992119973
ed,0.01947661765503938
ĠN,0.019418880997075536
Ġpossible,0.019400865454601693
Ġprocess,0.019267561090989545
Ġ0,0.019107669371043027
Ġpolicy,0.01893338523285966
Ġt,0.018899291566565966
Ġeach,0.01883657047149255
Ġreinforcement,0.018832161378188893
Ġbetween,0.01873565375881606
Ġhigh,0.018403906338318708
ĠR,0.018132275362957955
Ġanalysis,0.01806033428543923
Ġmulti,0.017958575166237663
Ġ2015,0.01766140760065177
Ġoptimal,0.01750488008255243
ation,0.017353790208636727
ĠQ,0.01733409832614815
âĢĭ,0.017247927174253344
Ġapproach,0.017115969108361374
al,0.016996332463032855
Ġintelligence,0.016767403044084073
Ġvisual,0.01644147080568212
Ġvideo,0.016381286183187405
ĠM,0.016307371270559964
