tokens,attribution
Ġto,0.686362241182457
Ġthe,0.3215145987473777
Ġprogramming,0.2732493363481735
Ġcode,0.17829988312293793
Ġ.,0.12371117713577337
ĠThe,0.11530641636308685
Ġlanguages,0.10755136964847513
Ġcompiler,0.10304771959829669
ĠJava,0.09666738276011927
Ġlanguage,0.09412119542552884
ĠHaskell,0.06536809643649975
",",0.05602396482619736
Ġcomputation,0.048873625851923834
Ġsyntax,0.044148895296557265
Ġsemantics,0.042736660544125865
ĠProgramming,0.04083483318650283
++,0.04075863097415054
Ġprogram,0.038793650334260035
Ġwhich,0.03741906177539433
Ġprogrammer,0.03698710938545472
Ġsoftware,0.03503801733265179
Ġcomputing,0.03149685460019501
ĠComputer,0.026397865458604532
Ġimplementations,0.025551078164545674
Ġprograms,0.025173796817681695
Ġcomput,0.024809149917150723
Ġsystems,0.023797596510726774
Ġprogrammers,0.02302894129995904
Ġ->,0.022984016867436716
Ġsuch,0.022726940209326318
Ġimplementation,0.022536639009946353
urrency,0.02171322806731653
Ġused,0.021260107677649912
Ġalgebra,0.01983044590171764
Ġfunction,0.019548449059587192
Ġfunctions,0.01881149022130125
Ġabstract,0.018310009290045327
Ġit,0.01828168949155063
Ġspecification,0.018206057192415845
ĠIn,0.017763259216250608
],0.01762474168202761
Ġapplications,0.017019634668809583
ĠâĨĴ,0.016756354767074547
Ġobject,0.0166538162019051
Ġtyping,0.016521759175459536
Ġby,0.016438348705341548
Ġoptimizations,0.015771922384403298
Ġabstraction,0.015686353273836367
Ġparallel,0.01548115929710623
;,0.01527694958872938
Ġapplication,0.015235311421442925
Ġtheorem,0.015233699773895824
Ġ{,0.015080964617264247
Ġuse,0.014634072795916336
Ġruntime,0.014458778544582343
Ġ:=,0.014108708295852902
Ġthat,0.013902113951441713
Ġsome,0.013724898681215032
ĠThis,0.013638268668677428
Ġquantum,0.013358551781279832
Ġtyped,0.012965378278106577
Ġ},0.012906449901896518
Ġspecifications,0.012894218986436983
Ġmachine,0.01280380594829388
ĠScala,0.012547311248821316
ĠComputing,0.012098175009961463
Ġcorrectness,0.011939022871927996
Ġconcurrent,0.011425903136869094
Ġsystem,0.01138423432712171
Ġdefined,0.011235509756598684
Ġcomputer,0.011010920408180858
ĠJavaScript,0.011003166092078402
Ġthread,0.01078097896271362
Ġdefine,0.010672127334485979
ĠTo,0.010635555364165479
e,0.01048196794687629
Ġverification,0.010473698907354171
Ġinvari,0.01038927801944256
Ġinteger,0.01025338248494514
Ġobjects,0.010226377840647937
Ġpredicate,0.010167232519109073
Ġrecursive,0.010146243210538395
Ġ;,0.010067463373182085
Ġinfinite,0.00998068108492341
Ġprocessors,0.009867810126202211
Ġits,0.009322331776936988
Ġvariable,0.009226490592800913
Ġ),0.0090722813416853
Ġdomain,0.0088288646901884
Ġfinite,0.00879602621040845
Ġcomputational,0.008658934331186424
Ġhardware,0.008555623555636558
Ġtype,0.008504813851588184
Ġ::,0.008502890301654461
Ġpointer,0.008448423741439847
ĠPython,0.008230357017225333
Ġproperties,0.008203249903534836
Ī,0.007977334709942911
Ġdebugging,0.007976758297197769
"Ġ,",0.007941694776593981
Ġcompile,0.0077434528985188406
Ġnotation,0.007692815443074853
Ġtool,0.007631783364248962
Ġconstraint,0.007589006173263297
Ġcalculus,0.0075786496890824975
Ġbut,0.00756746325275567
Ġpropagation,0.007538070919390084
