tokens,attribution
<s>,0.48957255349475404
.,0.3144594636669994
-,0.09653388048677403
",",0.08790025796420572
Ġof,0.0811827107850775
Ġ(,0.059978967915283156
Ġthe,0.051800421662700616
Ġ.,0.04930859302248466
),0.04079614015623028
:,0.03486136265226307
Ġprogramming,0.029447847926900916
Ġlanguages,0.02708222135277639
].,0.025944467286062218
Ġ[,0.02510935631598711
Ġand,0.023484007476375083
).,0.021587896768961015
1,0.02064654262348805
Ġlanguage,0.02047534212555173
/,0.019155781724507926
2,0.015505457999764487
@,0.015115562616382345
Ġin,0.0146717478584529
ĠâĪ,0.01347826386688083
"],",0.013473747918701151
".,",0.012977508929689985
Ġare,0.011690853606314725
Ġ2,0.011643891241386312
"),",0.011434736968719744
Ġ{,0.010490638542685237
Ì,0.010445137937388882
(,0.010240001556553387
Ġlearning,0.009992491452693309
Ġcode,0.009567350603017225
Ġsoftware,0.009423097106952048
ĠJava,0.009360409473155659
Ŀ,0.009052518456267204
Ġ1,0.008853201832198076
],0.008500109715445982
3,0.007724127361510396
Ġat,0.007574492387633916
Ī,0.0074541201812475325
Ġprogram,0.007231182907436076
Ļ,0.006411663059708786
Ġsyntax,0.00631079349896176
Ġ3,0.0062664122095491106
Ġsuch,0.006200798531133566
Ġ2017,0.006036870689783228
Ġcompiler,0.005957201411621251
ľ,0.005629566117795493
Ġexecution,0.005629135374327376
;,0.005559201437351589
s,0.005378953629442609
Ġvariables,0.005312273821430282
Ġthis,0.00514965445210465
Ġlogic,0.005148172391422924
ing,0.005147695078050151
Ġalso,0.005118403655068328
Ġdifferent,0.005036074555417279
Ģ,0.005002600274097091
Ġbeen,0.004938531544095709
"Ġ,",0.0048742159100973485
Ġsemantics,0.004763638867147137
M,0.004752359702679705
_,0.00473685904180652
Ġonly,0.004616431503918492
Ġor,0.004606743884534159
Č,0.004598713687478472
17,0.004573068529330967
Ġ=,0.0045229963823601215
Ġvariable,0.0044038386015338845
4,0.004399753073551318
Ġthese,0.004203899413348797
10,0.004152016218588704
Ġprogrammer,0.004059456968743463
ģ,0.004051306030641586
ĠLogic,0.004031712966170205
Ġnew,0.003977902520640797
Ġparallel,0.00395043890751425
=,0.003925316470304853
Ġtwo,0.003924739929708389
Ġas,0.003872187372614564
Ġbetween,0.0038456123184441335
Ĭ,0.0038059251991294568
0,0.003780131729528343
Ġeach,0.0036482368443077964
11,0.003594921308008478
g,0.0035841365156530428
âĢ,0.003557631885638072
ĠSection,0.0035335273124564907
ĠUniversity,0.0035171240251565374
ĠâĢ¢,0.00350290440822404
5,0.0034812117964279432
Ġanalysis,0.003443328169259444
Ġquery,0.00341026786385986
Ġ6,0.003340054289738979
istic,0.0033315505131427925
¬,0.0033085284649685466
8,0.0032861112089121276
Ġcomputation,0.003248525421758426
Ġ7,0.0032466431124467906
Ġnot,0.003234739411004118
Ġ2016,0.003227252346421851
Ġheap,0.0032119175737436363
18,0.003211446046674372
7,0.0032076547616525157
Ġsame,0.003184253187725315
13,0.003127723336697813
Ġprogrammers,0.003088073600134108
Ġnetwork,0.00308351704208323
Ġ0,0.003025582163411687
Ġnetworks,0.003014251296341988
ĠHaskell,0.0029754515725133367
Ġimplementation,0.0029511286986812274
Ġmodels,0.0029329284717885644
},0.0029319429732607006
âĪ,0.0029015056782113005
12,0.002891884936899452
ism,0.0028827676737475058
ĠÎ,0.0028777457876520154
Ġknowledge,0.0028716545729008344
Ġ2015,0.0028602086868642265
6,0.002838868662156667
Ġtheir,0.0028216854393940324
Ġhave,0.002794631934355202
15,0.002789212228973187
ed,0.002769638794830531
j,0.0027669372136155937
âĢĵ,0.002691502902437139
Ġapproach,0.0026864003346149094
Ġpolicy,0.002668614172827904
m,0.0026348431246075083
Ġ5,0.0026313954131553853
ĠProgramming,0.00262170730863653
ĠIntroduction,0.002618647046189704
Ġother,0.00261073201814992
://,0.002598936390205313
Ĺ,0.002596803334399186
ION,0.0025960049536567923
Ĩ,0.002592048550633943
Ġinference,0.0025899826495774264
al,0.002570565311283205
Ġ4,0.002568951426823511
âĪĴ,0.0025576892932497645
Ġmodel,0.002498466669672659
Ġ2014,0.002480482997578969
Ġwhere,0.002465331605788233
ology,0.0024518698884947476
?,0.002444524807852148
9,0.0024295796664053743
Ġfollowing,0.00240363015060045
Ġexample,0.0023996604024221087
Ġstatic,0.002388842205595601
urrency,0.0023842857470725664
Ġ&,0.0023819585647174356
Ġprograms,0.002353851949279639
time,0.0023243525480017703
ĠComputer,0.0023031780936531936
14,0.002298568741890958
ical,0.002295686447368338
Ġ2018,0.0022442704863594584
ar,0.0022441436449339323
Ġtyped,0.0022394028781733866
olution,0.002231664239741006
Ġout,0.0022309039818232865
G,0.0022153832007447394
ĠLanguage,0.002208886370003819
ĺ,0.0022053427393944926
16,0.0021848575895641637
Ġon,0.002162953319753201
Ġtype,0.0021555471525526483
the,0.0021467027788092193
Ġ:,0.002138620656545102
mail,0.0021138766115702695
âĢĶ,0.002113616001299698
ĠAttribution,0.002112238812422016
Ġinformation,0.002068785927690384
or,0.002058142291323586
Ġdeep,0.0020508387218768948
Ġ|,0.0020436561523018803
Ġqueries,0.002025233286939722
level,0.0020079702797981425
ive,0.002004143087304469
Ġcompilation,0.0019680660560081626
ĠâĪĴ,0.0019533917936460313
ĠÏ,0.001949936483577358
Ġdynamic,0.0019481203084710486
Ġrewriting,0.0019339399635481744
h,0.0019331499718665763
Ġ-,0.001919212354737613
ĠâĨĴ,0.0019166262091185214
Ġwork,0.0019039338252621804
Ġrelations,0.001900254534934858
Ġmethods,0.0018935191614776509
Ġsurvey,0.0018894915606392929
Ġwere,0.0018793324924599162
Ġalgorithm,0.0018452921849366876
Ġâ,0.0018349090674758726
Ġboth,0.0018310367687980112
Ġ;,0.001828719631827338
Ġ<,0.0018245429151397005
Ġinteraction,0.0018206605289974266
Ġformal,0.0018168789587164932
Ġarbitrary,0.001792407414393239
Ġevaluation,0.0017879274387668145
Ġparticular,0.0017868226215577215
Ġcurrent,0.0017850091483685659
Ġruntime,0.0017797615162343
Ġwhich,0.0017771880949156015
Ġ::,0.0017712735861987131
09,0.0017691983757669543
Ġrelation,0.0017663156554311276
ODUCT,0.0017594669019448644
Ġgame,0.0017582463088843515
Ġmany,0.001752452477702054
ĠâĢĵ,0.0017522473276328865
ational,0.00174778960356428
Ġproposed,0.0017320022542508403
ĠThese,0.0017216379403699902
arial,0.0017047762466314046
Ġmay,0.0017025162412788487
ĠLearning,0.0017011406755883503
d,0.0016938037658274583
Ġresearch,0.0016838026901336372
ĠH,0.0016763261767591229
ĠÂ·,0.0016617077089521421
Ġseveral,0.0016424794464618994
Ġinstruction,0.0016358215470973767
Ġrelated,0.0016342527477067584
]).,0.0016332001430164032
[,0.001629837421781847
vised,0.001628098892723896
Ġknown,0.0016234671221555027
»,0.001621901895061581
Ġcommunication,0.001620093400329602
ner,0.0016085831314273623
Ġfurther,0.0015975088548029035
learning,0.0015958296110674724
Ġuser,0.0015755520987611156
Ġwhile,0.001568928125392704
Ġinterpreter,0.0015678784069264907
ary,0.0015633607806612168
Ġlearn,0.0015533375661052039
Ġunderlying,0.001553320713328096
Ĥ,0.0015339326776339863
Ġsimilar,0.0015245087557562449
TR,0.001523881623719372
Ġthan,0.0015238616031285669
ly,0.0015170689650658444
Ġfrom,0.0015156075737902345
art,0.0015156008937120566
Ġcomputing,0.0015135778849139053
Ġ->,0.0015125315490089294
|,0.0015091795906725957
Ġhas,0.001498283761460426
ity,0.0014858904120257474
Ġinput,0.0014718060367913722
Ġstrategy,0.0014547433934818852
Ġbecause,0.0014353710285992937
ĠDeep,0.0014319082562066067
Ġmalware,0.0014298057729880017
¥,0.0014202612271331059
Ġaspects,0.001420118311490168
++,0.0014182439538214145
D,0.0014180813425946103
22,0.0014133264694627735
Ħ,0.0014123088169331365
ĠAnalysis,0.0014119404644443178
ĠFor,0.001410621618696159
Ġinstance,0.0014078900168536454
ĠThey,0.001401943299184022
+,0.0014009747089304867
);,0.001390008002871252
Ġhow,0.0013882425591050685
Ġlocal,0.0013879604866389483
Ġstudy,0.0013820916712922592
Ġtyping,0.0013792394623834327
ĳ,0.0013762001924898272
man,0.0013713771704936136
ĵ,0.0013696548676988827
Ġdataset,0.0013692772101699527
05,0.0013609278419739559
19,0.0013569998657768684
Ġbenchmark,0.001352816660822638
Ġtime,0.0013523630138165363
Ġmore,0.0013510492409810732
Ġway,0.0013464528726135866
Ġover,0.0013430597724600028
Ġoften,0.001335680412787502
Ġimportant,0.0013329180887848026
her,0.001330677686257957
ality,0.0013297898596543475
Ġexisting,0.0013175266980724714
ings,0.0013153610878152739
Ġwritten,0.0013125441282698968
Ġcompile,0.0013096960424105455
Ġbyte,0.0013093122289895406
Ġpolymorph,0.0013068318331054178
Ġincluding,0.001305476161262339
ness,0.0013054225974545842
21,0.0013044768995767017
07,0.0012960922955968942
ĠIntelligence,0.0012954647500723095
{,0.0012877984516515015
ologies,0.0012853676341828503
Ġshow,0.0012841214983452707
Ġexamples,0.0012837162781017132
Ġgiven,0.0012829670729248655
Ġoperations,0.0012719189579008074
ĠAbstract,0.0012717802818711353
Ġencoded,0.001263552915247404
Ġdynamics,0.0012599125689550792
ĠPractice,0.0012579748857230633
Ġdecision,0.0012554114122841074
Ġavailable,0.0012541556600553546
Ġâĩ,0.001253760752276349
ĠDepartment,0.0012494058557386617
Ġthen,0.0012453623878960166
Ġdenote,0.001240220725737976
ĩ,0.0012333144704464564
Ġconsider,0.0012306752271382523
Ġalgorithms,0.001221302260766982
Ġlibrary,0.0012212347703343877
Ġnext,0.0012170227011725385
etric,0.0012156092135105069
Ġ8,0.0012154762504394325
Ġ},0.0012139017577287134
Ġhence,0.00121362250303973
Ġcomput,0.0012075302751429916
ĠRein,0.0012010310182148391
Ġimplementations,0.0011963394188467748
ĠFree,0.0011923804615481051
Ġembed,0.0011867552507912927
Ġcontext,0.0011865380693463889
AL,0.0011847811997159768
H,0.001184693569810677
Ġwhen,0.001184133521802014
iveness,0.001181048448825998
term,0.0011682751762985537
Ġthus,0.0011657531378626406
Ġrecent,0.0011646946671106694
Ġregion,0.001162201342918451
Ġimplicit,0.0011602945246331135
Ġfuture,0.0011577715100746764
Ġshows,0.0011550346251417971
Ġaddress,0.0011512559804025568
ally,0.0011508989031532423
ding,0.0011468356983389022
Ġprevious,0.0011460910483459964
Ġterms,0.001145151164576569
Ġabstract,0.001142861749739445
to,0.001142698153291363
istics,0.0011368871236387488
Ġdescription,0.0011323803922771152
Ġspecification,0.0011306578884892004
ĠSQL,0.0011295246894806098
Ġcomputer,0.001127040725663954
¸,0.001123314733881709
Ġnotation,0.0011232216890985542
ĠLicense,0.0011216854944949058
Ġ2013,0.0011176120385874104
Ġassociated,0.0011113938887669262
vers,0.001111064661982982
Ġintroduces,0.0011107520758079162
ional,0.0011097557882936344
